bet_type,ev_threshold,min_prob,max_bets_per_race,bets,race_count,hits,hit_rate,stake_yen,return_yen,profit_yen,roi,avg_ev,avg_prob
win,1.0,0.0,0,67,67,67,1.0,6700,151620.0,144920.0,22.629850746268655,1.720771906542609,0.15559773715176867
win,1.05,0.0,0,59,59,59,1.0,5900,145840.0,139940.0,24.71864406779661,1.8161696220702337,0.14884801539336584
win,1.1,0.0,0,50,50,50,1.0,5000,139680.0,134680.0,27.936,1.9502666351699793,0.13880835764420146
win,1.2,0.0,0,44,44,44,1.0,4400,133830.0,129430.0,30.41590909090909,2.059099217598283,0.13683543629699035
win,1.5,0.0,0,26,26,26,1.0,2600,109970.0,107370.0,42.29615384615385,2.578474495666592,0.1256377752201361
