bet_type,ev_threshold,min_prob,max_bets_per_race,bets,race_count,hits,hit_rate,stake_yen,return_yen,profit_yen,roi,avg_ev,avg_prob
place,1.0,0.0,0,139,92,139,1.0,13900,119220.0,105320.0,8.576978417266186,1.5598382846224275,0.32439591440760646
place,1.02,0.0,0,136,89,136,1.0,13600,118400.0,104800.0,8.705882352941176,1.5719968122355916,0.322419862080894
place,1.05,0.0,0,126,86,126,1.0,12600,112900.0,100300.0,8.96031746031746,1.614643711080259,0.3242858620636743
place,1.1,0.0,0,110,76,110,1.0,11000,107600.0,96600.0,9.781818181818181,1.692623205314683,0.3097420720239786
place,1.2,0.0,0,89,69,89,1.0,8900,100490.0,91590.0,11.291011235955056,1.8182703775616356,0.2854718737377064
